"customerid","Contract","MonthlyCharges","tenure","Churn","risk_segment"
"7495-OOKFY","Month-to-month","80.65","8","Yes","churned"
"4667-QONEA","One year","74.85","60","No","stable"
"1658-BYGOY","Month-to-month","95.45","18","Yes","churned"
"8769-KKTPH","One year","99.65","63","No","stable"
"5067-XJQFU","One year","108.45","66","No","stable"
"3957-SQXML","Two year","24.95","34","No","stable"
"5954-BDFSG","Two year","107.5","72","No","stable"
"0434-CSFON","Month-to-month","100.5","47","No","medium risk"
"1215-FIGMP","Month-to-month","89.9","60","No","medium risk"
"0526-SXDJP","Two year","42.1","72","No","stable"
"0557-ASKVU","One year","54.4","18","No","stable"
"5698-BQJOH","Month-to-month","94.4","9","Yes","churned"
"5122-CYFXA","Month-to-month","75.3","3","No","medium risk"
"8627-ZYGSZ","One year","78.9","47","No","stable"
"3410-YOQBQ","Two year","79.2","31","No","stable"
"3170-NMYVV","Two year","20.15","50","No","stable"
"7410-OIEDU","Month-to-month","79.85","10","No","medium risk"
"2273-QCKXA","Month-to-month","49.05","1","No","medium risk"
"0731-EBJQB","One year","20.4","52","No","stable"
"1891-QRQSA","Two year","111.6","64","No","stable"
"8028-PNXHQ","Two year","24.25","62","No","stable"
"5630-AHZIL","Month-to-month","64.5","3","No","medium risk"
"2673-CXQEU","One year","110.5","56","No","stable"
"6416-JNVRK","One year","55.65","46","No","stable"
"5590-ZSKRV","Month-to-month","54.65","8","No","medium risk"
"0191-ZHSKZ","Month-to-month","74.75","30","No","medium risk"
"3887-PBQAO","One year","25.9","45","No","stable"
"5919-TMRGD","Month-to-month","79.35","1","Yes","churned"
"8108-UXRQN","Month-to-month","50.55","11","No","medium risk"
"9191-MYQKX","Month-to-month","75.15","7","Yes","churned"
"9919-YLNNG","Month-to-month","103.8","42","No","medium risk"
"0318-ZOPWS","Two year","20.15","49","No","stable"
"4445-ZJNMU","Month-to-month","99.3","9","No","high risk"
"4808-YNLEU","One year","62.15","35","No","stable"
"1862-QRWPE","Two year","20.65","48","No","stable"
"2796-NNUFI","Two year","19.95","46","No","stable"
"3016-KSVCP","Month-to-month","33.75","29","No","medium risk"
"4767-HZZHQ","Month-to-month","82.05","30","No","medium risk"
"2424-WVHPL","Month-to-month","74.7","1","No","medium risk"
"7233-PAHHL","Two year","84","66","No","stable"
"6067-NGCEU","Month-to-month","111.05","65","No","medium risk"
"9848-JQJTX","Two year","100.9","72","No","stable"
"8637-XJIVR","Month-to-month","78.95","12","Yes","churned"
"9803-FTJCG","One year","66.85","71","No","stable"
"0278-YXOOG","Month-to-month","21.05","5","Yes","churned"
"3212-KXOCR","Two year","21","52","No","stable"
"4598-XLKNJ","Month-to-month","98.5","25","Yes","churned"
"6380-ARCEH","Month-to-month","20.2","1","No","medium risk"
"3679-XASPY","Month-to-month","19.45","1","No","medium risk"
"7123-WQUHX","One year","95","38","No","stable"
"5386-THSLQ","One year","45.55","66","No","stable"
"3192-NQECA","Two year","110","68","Yes","churned"
"6180-YBIQI","Month-to-month","24.3","5","No","medium risk"
"6728-DKUCO","One year","104.15","72","No","stable"
"9750-BOOHV","One year","30.15","32","No","stable"
"8597-CWYHH","One year","94.35","43","No","stable"
"2848-YXSMW","Two year","19.4","72","No","stable"
"0486-HECZI","Month-to-month","96.75","55","Yes","churned"
"4549-ZDQYY","One year","57.95","52","No","stable"
"5712-AHQNN","Month-to-month","91.65","43","No","medium risk"
"4846-WHAFZ","Month-to-month","76.5","37","Yes","churned"
"5256-SKJGO","Two year","54.6","64","No","stable"
"3071-VBYPO","Month-to-month","89.85","3","No","high risk"
"9560-BBZXK","Two year","31.05","36","No","stable"
"5299-RULOA","Month-to-month","100.25","10","Yes","churned"
"8402-OOOHJ","Two year","20.65","41","No","stable"
"9445-ZUEQE","Month-to-month","85.2","27","No","medium risk"
"1091-SOZGA","One year","99.8","56","No","stable"
"2928-HLDBA","Month-to-month","20.7","6","No","medium risk"
"0404-SWRVG","Month-to-month","74.4","3","Yes","churned"
"6497-TILVL","Month-to-month","50.7","7","No","medium risk"
"7219-TLZHO","Month-to-month","20.85","4","No","medium risk"
"4622-YNKIJ","Two year","88.95","33","No","stable"
"4412-YLTKF","Month-to-month","78.05","27","Yes","churned"
"6734-PSBAW","Two year","23.55","72","No","stable"
"3930-ZGWVE","Month-to-month","19.75","1","No","medium risk"
"2639-UGMAZ","One year","56.45","71","No","stable"
"2876-GZYZC","Month-to-month","85.95","13","No","medium risk"
"6207-WIOLX","Month-to-month","58.6","25","Yes","churned"
"8587-XYZSF","Two year","50.55","67","No","stable"
"3091-FYHKI","Month-to-month","35.45","1","Yes","churned"
"2372-HWUHI","Month-to-month","44.35","2","Yes","churned"
"7799-LGRDP","Two year","25.7","43","No","stable"
"7850-VWJUU","Month-to-month","75","23","No","medium risk"
"3774-VBNXY","Two year","20.2","64","No","stable"
"6217-KDYWC","Two year","19.6","57","No","stable"
"0390-DCFDQ","Month-to-month","70.45","1","Yes","churned"
"3146-MSEGF","Two year","88.05","72","No","stable"
"4080-OGPJL","Month-to-month","71.15","8","Yes","churned"
"1095-WGNGG","Two year","101.05","61","No","stable"
"2636-SJDOU","One year","84.3","64","No","stable"
"1131-QQZEB","Two year","23.95","71","No","stable"
"5716-EZXZN","Two year","99.05","65","No","stable"
"6837-BJYDQ","One year","19.6","3","No","stable"
"2135-RXIHG","Month-to-month","45.65","1","Yes","churned"
"6440-DKQGE","One year","64.5","30","No","stable"
"3466-BYAVD","Month-to-month","69.5","15","No","medium risk"
"3780-YVMFA","Month-to-month","68.55","8","No","medium risk"
"3874-EQOEP","Month-to-month","95","7","Yes","churned"
"1679-JRFBR","One year","108.15","70","No","stable"
"9073-ZZIAY","Two year","86.1","62","No","stable"
"3077-RSNTJ","Month-to-month","19.7","6","No","medium risk"
"6551-GNYDG","Month-to-month","80.9","14","No","medium risk"
"9167-APMXZ","Month-to-month","84.15","22","No","medium risk"
"2749-CTKAJ","One year","20.15","22","No","stable"
"6371-NZYEG","Two year","64.25","16","No","stable"
"7554-NEWDD","Two year","25.7","10","No","stable"
"8992-VONJD","Month-to-month","56","13","No","medium risk"
"0867-MKZVY","Month-to-month","82.4","20","Yes","churned"
"4482-EWFMI","Month-to-month","69.7","2","No","medium risk"
"4648-YPBTM","Two year","73.9","53","No","stable"
"2907-ILJBN","One year","20.6","11","No","stable"
"6345-FZOQH","Two year","19.9","69","No","stable"
"3376-BMGFE","Month-to-month","70.9","4","Yes","churned"
"5997-OPVFA","Two year","89.05","72","No","stable"
"3445-HXXGF","Month-to-month","45.3","58","Yes","churned"
"1159-WFSGR","Month-to-month","20.4","16","No","medium risk"
"7654-YWJUF","One year","84.25","43","No","stable"
"1875-QIVME","Month-to-month","104.4","2","Yes","churned"
"6727-IOTLZ","Two year","81.95","14","No","stable"
"0691-JVSYA","One year","94.85","53","Yes","churned"
"5918-VUKWP","One year","20.55","32","No","stable"
"1744-JHKYS","Month-to-month","24.7","34","No","medium risk"
"2656-FMOKZ","Month-to-month","74.45","15","Yes","churned"
"2070-FNEXE","Month-to-month","76.45","7","Yes","churned"
"5947-SGKCL","Month-to-month","105.35","15","No","medium risk"
"3712-PKXZA","One year","20.55","61","No","stable"
"6317-YPKDH","Month-to-month","29.95","1","Yes","churned"
"6582-OIVSP","Month-to-month","45.3","1","No","medium risk"
"9367-WXLCH","Month-to-month","84.5","8","Yes","churned"
"5524-KHNJP","One year","74.75","33","No","stable"
"1918-ZBFQJ","Month-to-month","79.25","13","Yes","churned"
"1024-GUALD","Month-to-month","24.8","1","Yes","churned"
"4827-USJHP","Month-to-month","51.8","20","No","medium risk"
"8167-GJLRN","Month-to-month","30.4","3","No","medium risk"
"0956-SYCWG","One year","19.65","13","No","stable"
"8017-UVSZU","Month-to-month","56.6","40","No","medium risk"
"7100-FQPRV","One year","71.9","43","No","stable"
"2472-OVKUP","Month-to-month","91","6","Yes","churned"
"2984-RGEYA","Two year","19.75","69","No","stable"
"9680-NIAUV","Two year","109.7","72","No","stable"
"2146-EGVDT","Two year","19.3","59","No","stable"
"2604-IJPDU","Month-to-month","96.55","20","No","medium risk"
"9178-JHUVJ","Two year","24.1","24","No","stable"
"6168-YBYNP","Month-to-month","111.35","59","No","medium risk"
"7255-SSFBC","Two year","112.25","72","No","stable"
"3645-DEYGF","Month-to-month","20.75","1","No","medium risk"
"9323-HGFWY","One year","101.9","27","No","stable"
"8544-GOQSH","Month-to-month","80.05","14","No","medium risk"
"3363-DTIVD","Two year","105.55","71","No","stable"
"7018-WBJNK","Month-to-month","78.3","13","No","medium risk"
"9142-KZXOP","Month-to-month","68.85","44","No","medium risk"
"7674-YTAFD","One year","79.95","33","No","stable"
"6348-SNFUS","Two year","55.45","72","No","stable"
"1285-OKIPP","Month-to-month","79.9","1","Yes","churned"
"7825-ECJRF","Month-to-month","106.6","19","Yes","churned"
"1347-KTTTA","One year","102.45","64","No","stable"
"7841-TZDMQ","Month-to-month","46","2","Yes","churned"
"4195-NZGTA","Month-to-month","25.25","1","No","medium risk"
"7157-SMCFK","Two year","19.75","61","No","stable"
"4709-LKHYG","One year","20","29","No","stable"
"2504-DSHIH","Month-to-month","86.8","23","No","medium risk"
"0699-NDKJM","Month-to-month","58.75","57","No","medium risk"
"9286-BHDQG","Two year","45.25","72","No","stable"
"0230-WEQUW","Two year","56.6","66","No","stable"
"2040-LDIWQ","Two year","84.2","65","No","stable"
"6496-JDSSB","Month-to-month","80","8","No","medium risk"
"9408-SSNVZ","Month-to-month","70.15","4","Yes","churned"
"4443-EMBNA","Two year","24.75","71","No","stable"
"6469-MRVET","One year","20.2","1","No","stable"
"0742-MOABM","Month-to-month","50.05","4","Yes","churned"
"5961-VUSRV","One year","19.35","12","No","stable"
"6778-JFCMK","One year","50.6","24","No","stable"
"6341-JVQGF","One year","81.15","31","No","stable"
"2232-DMLXU","Month-to-month","55.2","1","Yes","churned"
"4811-JBUVU","Month-to-month","89.9","30","No","medium risk"
"0945-TSONX","Two year","85.3","47","No","stable"
"2651-ZCBXV","Two year","108","54","No","stable"
"3316-UWXUY","Month-to-month","93.5","50","No","medium risk"
"8937-RDTHP","Month-to-month","84.6","1","Yes","churned"
"7083-MIOPC","Two year","20.25","72","No","stable"
"1984-GPTEH","Month-to-month","25.15","29","No","medium risk"
"1251-KRREG","Month-to-month","54.4","2","Yes","churned"
"0621-JFHOL","Two year","29.6","10","No","stable"
"9903-LYSAB","Month-to-month","73.15","18","No","medium risk"
"0094-OIFMO","Month-to-month","95","11","Yes","churned"
"9227-UAQFT","Two year","19.75","16","No","stable"
"7301-ABVAD","Two year","86.6","72","No","stable"
"6614-FHDBO","Two year","109.2","72","No","stable"
"7576-ASEJU","One year","74.7","41","No","stable"
"9058-HRZSV","Month-to-month","94.4","65","No","medium risk"
"4522-AKYLR","Month-to-month","54.8","13","No","medium risk"
"0221-WMXNQ","Month-to-month","75.35","4","No","medium risk"
"0303-UNCIP","One year","65","41","No","stable"
"9947-OTFQU","Month-to-month","74.4","15","Yes","churned"
"0322-YINQP","Month-to-month","48.55","1","Yes","churned"
"0959-WHOKV","One year","99","42","No","stable"
"4075-JFPGR","One year","93.5","51","No","stable"
"4629-NRXKX","Month-to-month","70.4","2","Yes","churned"
"9514-JDSKI","Month-to-month","40.2","1","Yes","churned"
"3282-ZISZV","One year","83.7","32","No","stable"
"3675-YDUPJ","Month-to-month","19.85","10","No","medium risk"
"4111-BNXIF","Two year","59.55","67","No","stable"
"7017-VFHAY","Two year","115.1","61","No","stable"
"6655-LHBYW","One year","114.35","50","No","stable"
"4959-JOSRX","Month-to-month","44.6","2","Yes","churned"
"5046-NUHWD","Month-to-month","45","29","No","medium risk"
"7273-TEFQD","Month-to-month","41.15","3","Yes","churned"
"3606-TWKGI","Month-to-month","106.9","13","Yes","churned"
"7529-ZDFXI","Month-to-month","89.85","57","No","medium risk"
"7605-BDWDC","Two year","49.85","31","No","stable"
"1950-KSVVJ","One year","113.3","45","No","stable"
"0123-CRBRT","Two year","88.1","61","No","stable"
"6292-TOSSS","Two year","24.9","50","No","stable"
"3197-ARFOY","Month-to-month","105","19","No","medium risk"
"6323-AYBRX","Two year","19.35","59","Yes","churned"
"7014-ZZXAW","Two year","24.25","71","No","stable"
"4385-GZQXV","Month-to-month","94.45","16","Yes","churned"
"7633-MVPUY","Two year","59.75","57","No","stable"
"6366-ZGQGL","Month-to-month","24.8","1","Yes","churned"
"4716-HHKQH","Month-to-month","107.05","20","No","medium risk"
"5940-AHUHD","Month-to-month","70.6","1","Yes","churned"
"6432-TWQLB","Month-to-month","85.4","5","Yes","churned"
"4484-GLZOU","Month-to-month","105.05","52","Yes","churned"
"3179-GBRWV","Month-to-month","64.95","21","No","medium risk"
"8645-KWHJO","Month-to-month","55","14","No","medium risk"
"4130-MZLCC","Month-to-month","50.55","5","No","medium risk"
"0314-TKOSI","Month-to-month","55.15","6","No","medium risk"
"8229-MYEJZ","Month-to-month","51.2","10","No","medium risk"
"2080-SRCDE","Month-to-month","25.4","1","No","medium risk"
"9577-WJVCQ","Month-to-month","54.45","68","No","medium risk"
"9512-UIBFX","Month-to-month","95.15","18","Yes","churned"
"6202-DYYFX","One year","76","22","No","stable"
"3808-HFKDE","Month-to-month","44.35","20","No","medium risk"
"5583-SXDAG","Month-to-month","70","1","Yes","churned"
"3488-PGMQJ","Month-to-month","74.5","8","Yes","churned"
"3580-REOAC","Month-to-month","44.85","10","Yes","churned"
"7534-BFESC","Month-to-month","76.1","24","Yes","churned"
"3727-OWVYD","One year","61.2","35","No","stable"
"2294-SALNE","One year","86.8","23","No","stable"
"4847-TAJYI","Month-to-month","89.35","6","No","high risk"
"1563-IWQEX","Month-to-month","19.7","12","No","medium risk"
"8203-XJZRC","Month-to-month","20.25","1","No","medium risk"
"6556-DBKZF","Two year","76.05","71","No","stable"
"6851-WEFYX","Month-to-month","100.8","35","No","medium risk"
"2985-JUUBZ","Month-to-month","74.55","40","No","medium risk"
"6390-DSAZX","Month-to-month","73.6","1","Yes","churned"
"0895-LMRSF","One year","64.9","23","No","stable"
"8098-LLAZX","Month-to-month","95.45","4","Yes","churned"
"8266-VBFQL","Month-to-month","90.4","4","No","high risk"
"8181-YHCMF","Two year","60.3","68","No","stable"
"2240-HSJQD","Month-to-month","81.85","38","No","medium risk"
"1248-DYXUB","Two year","24.8","52","No","stable"
"0265-EDXBD","Month-to-month","74.9","32","Yes","churned"
"4115-BNPJY","Two year","75.55","29","No","stable"
"3167-SNQPL","Month-to-month","101.15","38","No","medium risk"
"4091-TVOCN","One year","78.75","48","No","stable"
"1098-TDVUQ","Month-to-month","19.25","1","No","medium risk"
"7277-OZCGZ","Month-to-month","89.05","22","No","medium risk"
"1557-EMYVT","Two year","115.05","43","No","stable"
"2799-ARNLO","Month-to-month","69.35","5","No","medium risk"
"7563-BIUPC","Month-to-month","80.6","5","Yes","churned"
"5027-YOCXN","One year","110.05","51","No","stable"
"3973-SKMLN","Two year","19.9","71","No","stable"
"2321-OMBXY","One year","80.3","38","Yes","churned"
"2840-XANRC","Month-to-month","93.15","24","Yes","churned"
"6745-JEFZB","Month-to-month","91.5","35","No","medium risk"
"5020-ZSTTY","One year","82.45","54","Yes","churned"
"9880-TDQAC","Two year","60","72","No","stable"
"8705-WZCYL","Month-to-month","44.8","1","No","medium risk"
"7102-JJVTX","One year","48.6","9","No","stable"
"8626-PTQGE","Two year","60.05","69","No","stable"
"4983-CLMLV","Month-to-month","102.7","52","No","medium risk"
"5701-YVSVF","Month-to-month","82.9","11","No","high risk"
"5804-LEPIM","Month-to-month","70.35","2","Yes","churned"
"5697-GOMBF","Month-to-month","35.9","28","No","medium risk"
"2739-CACDQ","Month-to-month","82.65","17","No","medium risk"
"9385-EHGDO","Two year","19.85","35","No","stable"
"9498-FIMXL","One year","19.2","8","No","stable"
"2379-GYFLQ","One year","94.9","46","No","stable"
"0122-OAHPZ","Month-to-month","73.85","7","Yes","churned"
"2868-SNELZ","Month-to-month","80.6","2","Yes","churned"
"4322-RCYMT","One year","75.8","68","Yes","churned"
"6680-NENYN","Two year","104.6","43","Yes","churned"
"2088-IEBAU","Two year","88.15","68","No","stable"
"7982-VCELR","Month-to-month","94.8","36","No","medium risk"
"1343-EHPYB","Month-to-month","103.4","63","Yes","churned"
"6035-BXTTY","Month-to-month","54.65","32","No","medium risk"
"6885-PKOAM","Two year","85.75","71","No","stable"
"7520-HQWJU","Month-to-month","67.45","66","No","medium risk"
"9639-BUJXT","One year","20.5","63","No","stable"
"5924-SNGKP","One year","20.25","41","No","stable"
"0021-IKXGC","Month-to-month","72.1","1","No","medium risk"
"2034-GDRCN","Month-to-month","90.4","2","Yes","churned"
"8966-SNIZF","Two year","19.45","70","No","stable"
"6243-OZGFH","Month-to-month","44.95","23","No","medium risk"
"4654-DLAMQ","One year","97","64","No","stable"
"0513-RBGPE","Two year","62.8","37","No","stable"
"5160-UXJED","One year","44.6","17","No","stable"
"4115-NZRKS","Month-to-month","89.15","7","No","high risk"
"0219-YTZUE","Month-to-month","84.8","4","Yes","churned"
"0623-IIHUG","Month-to-month","41.9","21","Yes","churned"
"4572-DVCGN","Month-to-month","80.25","10","Yes","churned"
"3351-NGXYI","Month-to-month","54.1","16","No","medium risk"
"8984-EYLLL","Two year","105.25","64","No","stable"
"9057-MSWCO","Month-to-month","30.75","27","Yes","churned"
"9833-TGFHX","One year","97.1","42","No","stable"
"9294-TDIPC","Month-to-month","20.2","5","No","medium risk"
"5229-DTFYB","Two year","98.8","41","No","stable"
"0104-PPXDV","One year","50.3","58","No","stable"
"5176-LMJXE","Two year","20.55","47","No","stable"
"3583-KRKMD","Month-to-month","75.9","18","No","medium risk"
"1010-DIAUQ","Month-to-month","96.5","5","Yes","churned"
"9069-LGEUL","Month-to-month","59.95","23","No","medium risk"
"7302-ZHMHP","Month-to-month","19.15","1","No","medium risk"
"9571-EDEBV","One year","98.65","71","No","stable"
"3520-FJGCV","Two year","112.6","72","No","stable"
"6563-VRERX","One year","20.6","33","No","stable"
"0259-GBZSH","Month-to-month","85.65","2","Yes","churned"
"6122-EFVKN","Two year","35.75","24","No","stable"
"2805-EDJPQ","One year","99.75","56","No","stable"
"6862-CQUMB","Month-to-month","96.1","37","No","medium risk"
"7156-MXBJE","One year","85.1","43","No","stable"
"6158-HDPXZ","Month-to-month","25.35","1","No","medium risk"
"9601-BRXPO","Month-to-month","104.95","25","Yes","churned"
"2863-IMQDR","Two year","89.65","61","No","stable"
"5686-CMAWK","One year","86.75","17","No","stable"
"5651-CRHKQ","One year","86.2","41","No","stable"
"6905-NIQIN","Month-to-month","50.65","1","Yes","churned"
"8204-YJCLA","Two year","64.8","72","No","stable"
"5167-ZFFMM","Month-to-month","90.85","1","Yes","churned"
"6583-SZVGP","Two year","108.1","48","No","stable"
"4895-TMWIR","Month-to-month","19.95","11","Yes","churned"
"0533-BNWKF","Month-to-month","85.45","55","Yes","churned"
"1708-PBBOA","One year","54.75","42","No","stable"
"8782-LKFPK","Month-to-month","90.4","44","No","medium risk"
"5522-JBWMO","Month-to-month","44","1","No","medium risk"
"3597-MVHJT","Month-to-month","95.6","27","No","medium risk"
"9774-NRNAU","Month-to-month","84.8","27","No","medium risk"
"0224-RLWWD","Month-to-month","44.3","2","No","medium risk"
"9967-ATRFS","Month-to-month","19.9","19","No","medium risk"
"3951-NJCVI","Month-to-month","95.05","42","No","medium risk"
"2977-CEBSX","Two year","90.05","66","No","stable"
"0177-PXBAT","Month-to-month","109.9","33","No","medium risk"
"6599-CEBNN","Month-to-month","73.95","34","Yes","churned"
"2519-ERQOJ","Month-to-month","54.6","33","No","medium risk"
"5876-QMYLD","One year","20.05","23","No","stable"
"2277-AXSDC","One year","19.75","32","No","stable"
"9442-JTWDL","One year","20.05","11","No","stable"
"0979-PHULV","Month-to-month","99.45","69","Yes","churned"
"3067-SVMTC","One year","55.9","68","No","stable"
"5495-GPSRW","Two year","19.7","20","No","stable"
"7606-BPHHN","Two year","19.8","72","No","stable"
"4742-DRORA","One year","95.4","60","No","stable"
"0111-KLBQG","Month-to-month","93.95","32","No","medium risk"
"4800-VHZKI","Month-to-month","19.9","1","Yes","churned"
"7989-CHGTL","Month-to-month","19.6","1","Yes","churned"
"0334-GDDSO","Month-to-month","81.35","3","Yes","churned"
"4163-NCJAK","One year","24.45","46","No","stable"
"5233-AOZUF","Month-to-month","74.95","29","No","medium risk"
"5973-EJGDP","Month-to-month","87.35","51","No","medium risk"
"1996-DBMUS","Month-to-month","70.65","48","No","medium risk"
"7916-VCCPB","Month-to-month","73.25","16","No","medium risk"
"4686-GEFRM","Two year","98.7","70","No","stable"
"5249-QYHEX","Two year","24.8","40","No","stable"
"0578-SKVMF","Month-to-month","83.3","22","Yes","churned"
"5564-NEMQO","Month-to-month","75.3","1","Yes","churned"
"2233-FAGXV","Month-to-month","24.3","5","No","medium risk"
"5605-IYGFG","Month-to-month","69.85","7","No","medium risk"
"7663-ZTEGJ","One year","100.55","29","No","stable"
"3935-TBRZZ","One year","25.7","44","No","stable"
"8111-BKVDS","Month-to-month","40.7","10","No","medium risk"
"2055-SIFSS","Month-to-month","51.65","55","No","medium risk"
"2806-MLNTI","One year","105.1","52","No","stable"
"8734-DKSTZ","Month-to-month","85.95","10","No","high risk"
"4360-PNRQB","Month-to-month","75.6","18","No","medium risk"
"6152-ONASV","One year","58.25","68","No","stable"
"9063-ZGTUY","Month-to-month","19.4","61","Yes","churned"
"7781-HVGMK","Two year","65.2","72","No","stable"
"2181-UAESM","Month-to-month","53.45","2","No","medium risk"
"2957-LOLHO","Month-to-month","45.4","12","Yes","churned"
"6048-NJXHX","Two year","19.75","41","No","stable"
"2320-SLKMB","Month-to-month","44.45","26","No","medium risk"
"4980-URKXC","One year","20.85","36","No","stable"
"4376-KFVRS","Two year","114.05","72","No","stable"
"5886-VLQVU","Month-to-month","89.85","35","No","medium risk"
"3577-AMVUX","Month-to-month","55.05","1","No","medium risk"
"0771-WLCLA","Month-to-month","112.95","16","No","medium risk"
"5628-RKIFK","Month-to-month","101.55","49","No","medium risk"
"0206-TBWLC","One year","114.65","54","No","stable"
"2937-FTHUR","Month-to-month","64.8","18","No","medium risk"
"1910-FMXJM","Month-to-month","80.4","36","No","medium risk"
"7752-XUSCI","Month-to-month","105.9","60","Yes","churned"
"4110-PFEUZ","Month-to-month","69.55","1","Yes","churned"
"0732-OCQOC","Two year","25.05","52","No","stable"
"5168-MSWXT","Month-to-month","94.75","8","No","high risk"
"1090-ESELR","Two year","105.5","72","No","stable"
"8592-PLTMQ","One year","24.7","64","No","stable"
"5760-WRAHC","Month-to-month","69.75","22","No","medium risk"
"8847-GEOOQ","Month-to-month","60.2","60","No","medium risk"
"0256-LTHVJ","Month-to-month","81.05","28","Yes","churned"
"4785-FCIFB","Two year","24.4","61","No","stable"
"8313-NDOIA","Month-to-month","104.15","24","No","medium risk"
"5149-CUZUJ","One year","92.9","28","No","stable"
"0942-KOWSM","Two year","80.8","30","No","stable"
"4237-CLSMM","Month-to-month","20","2","No","medium risk"
"1452-VOQCH","Month-to-month","75.1","1","No","medium risk"
"4719-UMSIY","Month-to-month","19.65","6","No","medium risk"
"6614-VBEGU","Month-to-month","69.45","24","No","medium risk"
"0880-TKATG","Month-to-month","101.15","4","Yes","churned"
"3811-VBYBZ","Month-to-month","99.8","7","Yes","churned"
"1480-BKXGA","Two year","116.05","72","No","stable"
"2996-XAUVF","Two year","40.05","70","No","stable"
"9076-AXYIK","Two year","102.1","64","No","stable"
"5968-XQIVE","One year","89.7","72","No","stable"
"8896-RAZCR","Two year","19.9","44","No","stable"
"4640-UHDOS","Month-to-month","55.95","13","Yes","churned"
"4933-IKULF","One year","20.65","17","No","stable"
"3583-EKAPL","Month-to-month","55","1","Yes","churned"
"1304-BCCFO","Month-to-month","70.05","9","No","medium risk"
"4104-PVRPS","Month-to-month","53.6","24","No","medium risk"
"9399-APLBT","Month-to-month","74.7","1","Yes","churned"
"2359-KMGLI","Month-to-month","80.25","24","Yes","churned"
"3780-DDGSE","Month-to-month","76.05","35","No","medium risk"
"4431-EDMIQ","Month-to-month","75.7","7","No","medium risk"
"0306-JAELE","Month-to-month","96.1","5","Yes","churned"
"6227-HWPWX","Month-to-month","69","15","Yes","churned"
"0486-LGCCH","Two year","19.65","11","No","stable"
"0447-BEMNG","Month-to-month","45.3","48","Yes","churned"
"4612-SSVHJ","Month-to-month","81.45","20","No","medium risk"
"5168-MQQCA","One year","108.5","72","No","stable"
"5949-XIKAE","Month-to-month","83.55","8","Yes","churned"
"7971-HLVXI","Two year","84.5","72","No","stable"
"9094-AZPHK","Month-to-month","100.15","15","No","medium risk"
