"customerid","gender","Contract","tenure","MonthlyCharges","PaymentMethod","risk_level"
"8015-IHCGW","Female","Two year","72","115.5","Electronic check","Low/Medium Risk"
"3882-IYOIJ","Female","Two year","60","115.25","Credit card (automatic)","Low/Medium Risk"
"3396-DKDEL","Female","Two year","70","115.15","Credit card (automatic)","Low/Medium Risk"
"2380-DAMQP","Female","Two year","72","115.15","Electronic check","Low/Medium Risk"
"3669-WHAFY","Female","Two year","71","115.15","Credit card (automatic)","Low/Medium Risk"
"0906-QVPMS","Male","Two year","72","115.15","Bank transfer (automatic)","Low/Medium Risk"
"3642-GKTCT","Female","One year","61","115.1","Mailed check","Low/Medium Risk"
"8869-LIHMK","Female","Two year","64","115.1","Bank transfer (automatic)","Low/Medium Risk"
"7017-VFHAY","Female","Two year","61","115.1","Credit card (automatic)","Low/Medium Risk"
"1557-EMYVT","Female","Two year","43","115.05","Credit card (automatic)","Low/Medium Risk"
"8894-JVDCV","Female","One year","62","115.05","Credit card (automatic)","Low/Medium Risk"
"8029-XYPWT","Male","Two year","71","115.05","Bank transfer (automatic)","Low/Medium Risk"
"8454-AATJP","Female","Two year","72","115.05","Credit card (automatic)","Low/Medium Risk"
"1229-RCALF","Female","One year","64","115","Electronic check","Low/Medium Risk"
"6919-ELBGL","Male","Two year","72","114.95","Bank transfer (automatic)","Low/Medium Risk"
"7176-WRTNX","Male","Two year","70","114.95","Bank transfer (automatic)","Low/Medium Risk"
"0164-APGRB","Female","Two year","72","114.9","Electronic check","Low/Medium Risk"
"4304-TSPVK","Female","Two year","68","114.9","Bank transfer (automatic)","Low/Medium Risk"
"2388-LAESQ","Female","Two year","72","114.85","Bank transfer (automatic)","Low/Medium Risk"
"4393-GEADV","Male","Two year","70","114.75","Credit card (automatic)","Low/Medium Risk"
"6445-TNRXS","Male","Two year","68","114.7","Bank transfer (automatic)","Low/Medium Risk"
"0206-TBWLC","Female","One year","54","114.65","Mailed check","Low/Medium Risk"
"1779-PWPMG","Female","Two year","72","114.65","Bank transfer (automatic)","Low/Medium Risk"
"0530-IJVDB","Male","Two year","70","114.6","Electronic check","Low/Medium Risk"
"5322-TEUJK","Female","Two year","71","114.6","Bank transfer (automatic)","Low/Medium Risk"
"8207-DMRVL","Male","Two year","72","114.55","Bank transfer (automatic)","Low/Medium Risk"
"5135-GRQJV","Male","Two year","72","114.5","Mailed check","Low/Medium Risk"
"7359-WWYJV","Male","Two year","72","114.45","Credit card (automatic)","Low/Medium Risk"
"2040-XBAVJ","Male","Two year","72","114.45","Bank transfer (automatic)","Low/Medium Risk"
"5375-XLDOF","Male","Two year","69","114.35","Bank transfer (automatic)","Low/Medium Risk"
"6655-LHBYW","Male","One year","50","114.35","Credit card (automatic)","Low/Medium Risk"
"0266-GMEAO","Male","Two year","72","114.3","Credit card (automatic)","Low/Medium Risk"
"7929-SKFGK","Male","Two year","70","114.3","Credit card (automatic)","Low/Medium Risk"
"9896-UYMIE","Male","One year","66","114.3","Bank transfer (automatic)","Low/Medium Risk"
"6710-HSJRD","Male","Month-to-month","61","114.1","Electronic check","Low/Medium Risk"
"9637-CDTKZ","Male","Two year","72","114.1","Credit card (automatic)","Low/Medium Risk"
"3892-NXAZG","Male","Two year","72","114.05","Credit card (automatic)","Low/Medium Risk"
"4376-KFVRS","Male","Two year","72","114.05","Credit card (automatic)","Low/Medium Risk"
"3726-TBHQT","Male","Two year","71","114","Bank transfer (automatic)","Low/Medium Risk"
"9127-FHJBZ","Male","Two year","72","114","Electronic check","Low/Medium Risk"
"8085-MSNLK","Female","Two year","62","113.95","Mailed check","Low/Medium Risk"
"3258-SYSWS","Male","Two year","72","113.8","Bank transfer (automatic)","Low/Medium Risk"
"7663-CUXZB","Male","Two year","59","113.75","Electronic check","Low/Medium Risk"
"9258-CNWAC","Female","Two year","71","113.65","Credit card (automatic)","Low/Medium Risk"
"9239-GZHZE","Female","Two year","72","113.65","Credit card (automatic)","Low/Medium Risk"
"5038-ETMLM","Female","Two year","72","113.65","Bank transfer (automatic)","Low/Medium Risk"
"4806-DXQCE","Female","Two year","70","113.65","Electronic check","Low/Medium Risk"
"2368-GAKKQ","Female","Two year","70","113.65","Bank transfer (automatic)","Low/Medium Risk"
"7740-BTPUX","Male","Two year","55","113.6","Electronic check","Low/Medium Risk"
"9746-MDMBK","Male","One year","47","113.45","Bank transfer (automatic)","Low/Medium Risk"
"8670-ERCJH","Male","Two year","72","113.4","Bank transfer (automatic)","Low/Medium Risk"
"0864-FVJNJ","Female","One year","64","113.35","Electronic check","Low/Medium Risk"
"1950-KSVVJ","Female","One year","45","113.3","Mailed check","Low/Medium Risk"
"3655-SNQYZ","Female","Two year","69","113.25","Credit card (automatic)","Low/Medium Risk"
"9786-IJYDL","Female","Two year","35","113.2","Mailed check","Low/Medium Risk"
"1043-UXOVO","Female","Two year","71","113.15","Credit card (automatic)","Low/Medium Risk"
"9475-NNDGC","Male","One year","71","113.15","Bank transfer (automatic)","Low/Medium Risk"
"6859-QNXIQ","Female","Two year","72","113.1","Bank transfer (automatic)","Low/Medium Risk"
"3870-SPZSI","Female","Two year","70","113.05","Credit card (automatic)","Low/Medium Risk"
"0907-HQNTS","Female","Two year","70","113","Credit card (automatic)","Low/Medium Risk"
"0771-WLCLA","Female","Month-to-month","16","112.95","Electronic check","Low/Medium Risk"
"9481-IEBZY","Male","Month-to-month","72","112.9","Credit card (automatic)","Low/Medium Risk"
"5183-KLYEM","Female","Two year","72","112.75","Credit card (automatic)","Low/Medium Risk"
"3520-FJGCV","Male","Two year","72","112.6","Credit card (automatic)","Low/Medium Risk"
"6993-YGFJV","Male","Two year","69","112.55","Bank transfer (automatic)","Low/Medium Risk"
"4829-ZLJTK","Female","Two year","72","112.4","Electronic check","Low/Medium Risk"
"8561-NMTBD","Female","One year","67","112.35","Credit card (automatic)","Low/Medium Risk"
"7255-SSFBC","Male","Two year","72","112.25","Bank transfer (automatic)","Low/Medium Risk"
"6480-YAGIY","Male","One year","45","112.2","Credit card (automatic)","Low/Medium Risk"
"0378-CJKPV","Female","Two year","72","112.1","Credit card (automatic)","Low/Medium Risk"
"2193-SFWQW","Male","Two year","72","111.95","Bank transfer (automatic)","Low/Medium Risk"
"7055-JCGNI","Female","Two year","70","111.95","Credit card (automatic)","Low/Medium Risk"
"0619-OLYUR","Male","Two year","72","111.9","Credit card (automatic)","Low/Medium Risk"
"8099-MZPUJ","Male","Two year","48","111.8","Credit card (automatic)","Low/Medium Risk"
"7409-JURKQ","Female","One year","53","111.8","Bank transfer (automatic)","Low/Medium Risk"
"2632-IVXVF","Female","Two year","68","111.75","Credit card (automatic)","Low/Medium Risk"
"2469-DTSGX","Female","Two year","72","111.65","Electronic check","Low/Medium Risk"
"5304-EFJLP","Male","Two year","72","111.65","Bank transfer (automatic)","Low/Medium Risk"
"1891-QRQSA","Male","Two year","64","111.6","Bank transfer (automatic)","Low/Medium Risk"
"8853-TZDGH","Female","Two year","72","111.6","Bank transfer (automatic)","Low/Medium Risk"
"3584-WKTTW","Male","One year","51","111.55","Electronic check","Low/Medium Risk"
"2587-EKXTS","Male","Month-to-month","44","111.5","Electronic check","Low/Medium Risk"
"7245-JMTTQ","Female","One year","51","111.5","Electronic check","Low/Medium Risk"
"1135-HIORI","Female","One year","64","111.45","Electronic check","Low/Medium Risk"
"7130-YXBRO","Male","Month-to-month","48","111.45","Bank transfer (automatic)","Low/Medium Risk"
"3292-PBZEJ","Male","Month-to-month","11","111.4","Electronic check","High Risk"
"6168-YBYNP","Male","Month-to-month","59","111.35","Electronic check","Low/Medium Risk"
"2773-OVBPK","Male","Two year","67","111.3","Bank transfer (automatic)","Low/Medium Risk"
"3508-CFVZL","Female","Two year","71","111.3","Mailed check","Low/Medium Risk"
"3199-NPKCN","Female","One year","67","111.25","Electronic check","Low/Medium Risk"
"0835-JKADZ","Female","Two year","71","111.25","Electronic check","Low/Medium Risk"
"3022-BEXHZ","Male","Two year","67","111.2","Bank transfer (automatic)","Low/Medium Risk"
"8071-SBTRN","Female","Two year","70","111.15","Mailed check","Low/Medium Risk"
"2067-QYTCF","Female","Month-to-month","64","111.15","Electronic check","Low/Medium Risk"
"5514-YQENT","Male","Two year","41","111.15","Electronic check","Low/Medium Risk"
"8591-TKMZH","Male","Two year","59","111.1","Mailed check","Low/Medium Risk"
"2323-ARSVR","Male","Two year","67","111.05","Electronic check","Low/Medium Risk"
"6067-NGCEU","Female","Month-to-month","65","111.05","Credit card (automatic)","Low/Medium Risk"
"7030-FZTFM","Male","Two year","72","110.9","Credit card (automatic)","Low/Medium Risk"
"9351-HXDMR","Male","Two year","72","110.9","Credit card (automatic)","Low/Medium Risk"
"6030-REHUX","Female","Month-to-month","28","110.85","Electronic check","Low/Medium Risk"
"4616-ULAOA","Female","Two year","65","110.8","Credit card (automatic)","Low/Medium Risk"
"9330-VOFSZ","Female","Two year","60","110.8","Credit card (automatic)","Low/Medium Risk"
"2499-AJYUA","Female","Two year","72","110.8","Credit card (automatic)","Low/Medium Risk"
"5795-KTGUD","Female","Two year","68","110.8","Bank transfer (automatic)","Low/Medium Risk"
"4118-CEVPF","Female","One year","35","110.8","Bank transfer (automatic)","Low/Medium Risk"
"2272-JKMSI","Female","One year","62","110.8","Electronic check","Low/Medium Risk"
"2272-WUSPA","Female","Two year","72","110.75","Electronic check","Low/Medium Risk"
"8920-NAVAY","Male","One year","62","110.75","Bank transfer (automatic)","Low/Medium Risk"
"1320-REHCS","Male","Month-to-month","52","110.75","Electronic check","Low/Medium Risk"
"9356-AXGMP","Male","One year","38","110.7","Electronic check","Low/Medium Risk"
"0409-WTMPL","Female","One year","58","110.65","Credit card (automatic)","Low/Medium Risk"
"8823-RLPWL","Female","Two year","72","110.65","Credit card (automatic)","Low/Medium Risk"
"1291-CUOCY","Male","Two year","72","110.6","Credit card (automatic)","Low/Medium Risk"
"6993-YCOBK","Male","Two year","60","110.6","Electronic check","Low/Medium Risk"
"4827-LTQRJ","Female","One year","66","110.6","Credit card (automatic)","Low/Medium Risk"
"4476-OSWTN","Male","One year","69","110.55","Mailed check","Low/Medium Risk"
"7519-JTWQH","Female","Two year","69","110.5","Bank transfer (automatic)","Low/Medium Risk"
"6297-NOOPG","Female","Two year","70","110.5","Electronic check","Low/Medium Risk"
"1258-YMZNM","Female","One year","27","110.5","Bank transfer (automatic)","Low/Medium Risk"
"9405-GPBBG","Female","Two year","64","110.5","Credit card (automatic)","Low/Medium Risk"
"2673-CXQEU","Female","One year","56","110.5","Electronic check","Low/Medium Risk"
"8008-ESFLK","Female","One year","53","110.5","Electronic check","Low/Medium Risk"
"8309-PPCED","Female","Two year","72","110.45","Bank transfer (automatic)","Low/Medium Risk"
"7602-MVRMB","Female","Two year","72","110.45","Bank transfer (automatic)","Low/Medium Risk"
"1409-PHXTF","Male","Two year","54","110.45","Electronic check","Low/Medium Risk"
"6647-ZEDXT","Female","One year","30","110.45","Credit card (automatic)","Low/Medium Risk"
"3729-OWRVL","Male","Two year","65","110.35","Electronic check","Low/Medium Risk"
"3580-HYCSP","Male","Two year","72","110.3","Bank transfer (automatic)","Low/Medium Risk"
"2789-CZANW","Female","Two year","64","110.3","Bank transfer (automatic)","Low/Medium Risk"
"1936-UAFEH","Female","Two year","68","110.25","Credit card (automatic)","Low/Medium Risk"
"4627-MIHJH","Female","Two year","69","110.25","Credit card (automatic)","Low/Medium Risk"
"7576-JMYWV","Female","Month-to-month","46","110.2","Electronic check","Low/Medium Risk"
"5153-LXKDT","Male","Two year","68","110.2","Electronic check","Low/Medium Risk"
"8707-HOEDG","Female","Two year","70","110.2","Electronic check","Low/Medium Risk"
"9070-BCKQP","Female","Two year","72","110.15","Credit card (automatic)","Low/Medium Risk"
"7566-DSRLQ","Female","Two year","72","110.15","Electronic check","Low/Medium Risk"
"4778-IZARL","Male","Two year","63","110.1","Credit card (automatic)","Low/Medium Risk"
"3244-CQPHU","Female","Two year","72","110.1","Bank transfer (automatic)","Low/Medium Risk"
"2931-SVLTV","Male","Month-to-month","40","110.1","Credit card (automatic)","Low/Medium Risk"
"2988-QRAJY","Male","Two year","69","110.05","Credit card (automatic)","Low/Medium Risk"
"5027-YOCXN","Male","One year","51","110.05","Credit card (automatic)","Low/Medium Risk"
"7868-TMWMZ","Female","Two year","60","110","Bank transfer (automatic)","Low/Medium Risk"
"6333-YDVLT","Male","One year","65","110","Credit card (automatic)","Low/Medium Risk"
"3174-RKMOW","Male","Month-to-month","35","109.95","Electronic check","Low/Medium Risk"
"1841-YSJGV","Male","Two year","72","109.95","Credit card (automatic)","Low/Medium Risk"
"0136-IFMYD","Male","Two year","69","109.95","Electronic check","Low/Medium Risk"
"0795-GMVQO","Male","One year","67","109.9","Credit card (automatic)","Low/Medium Risk"
"0177-PXBAT","Male","Month-to-month","33","109.9","Bank transfer (automatic)","Low/Medium Risk"
"0254-FNMCI","Female","Two year","72","109.9","Electronic check","Low/Medium Risk"
"1656-DRSMG","Female","Month-to-month","63","109.85","Credit card (automatic)","Low/Medium Risk"
"6689-VRRTK","Female","One year","44","109.8","Credit card (automatic)","Low/Medium Risk"
"6198-PNNSZ","Female","One year","56","109.8","Bank transfer (automatic)","Low/Medium Risk"
"1162-ECVII","Male","Two year","72","109.75","Bank transfer (automatic)","Low/Medium Risk"
"7446-KQISO","Male","Two year","45","109.75","Bank transfer (automatic)","Low/Medium Risk"
"9866-OCCKE","Female","Two year","72","109.75","Mailed check","Low/Medium Risk"
"4670-TABXH","Male","Two year","72","109.75","Credit card (automatic)","Low/Medium Risk"
"1360-XFJMR","Female","One year","67","109.7","Credit card (automatic)","Low/Medium Risk"
"0013-SMEOE","Female","Two year","71","109.7","Bank transfer (automatic)","Low/Medium Risk"
"9680-NIAUV","Female","Two year","72","109.7","Credit card (automatic)","Low/Medium Risk"
"4909-JOUPP","Male","Two year","72","109.7","Credit card (automatic)","Low/Medium Risk"
"0237-YFUTL","Female","Month-to-month","50","109.65","Bank transfer (automatic)","Low/Medium Risk"
"6295-OSINB","Male","Two year","72","109.65","Electronic check","Low/Medium Risk"
"1061-PNTHC","Female","Month-to-month","56","109.6","Mailed check","Low/Medium Risk"
"5945-AZYHT","Male","One year","71","109.6","Electronic check","Low/Medium Risk"
"3518-FSTWG","Male","Two year","72","109.55","Bank transfer (automatic)","Low/Medium Risk"
"2731-GJRDG","Female","One year","32","109.55","Bank transfer (automatic)","Low/Medium Risk"
"0536-ACXIP","Female","Two year","72","109.55","Electronic check","Low/Medium Risk"
"4176-FXYBO","Male","Month-to-month","54","109.55","Electronic check","Low/Medium Risk"
"9802-CAQUT","Female","Two year","72","109.55","Credit card (automatic)","Low/Medium Risk"
"3831-YCPUO","Female","Two year","72","109.5","Credit card (automatic)","Low/Medium Risk"
"2522-AHJXR","Male","Month-to-month","60","109.45","Bank transfer (automatic)","Low/Medium Risk"
"9052-VKDUW","Female","Month-to-month","65","109.4","Credit card (automatic)","Low/Medium Risk"
"0103-CSITQ","Female","One year","57","109.4","Bank transfer (automatic)","Low/Medium Risk"
"7537-CBQUZ","Male","Month-to-month","63","109.4","Bank transfer (automatic)","Low/Medium Risk"
"8849-PRIQJ","Female","One year","67","109.4","Electronic check","Low/Medium Risk"
"1163-VIPRI","Female","Two year","65","109.3","Electronic check","Low/Medium Risk"
"1428-IEDPR","Male","Two year","52","109.3","Electronic check","Low/Medium Risk"
"2599-CIPQE","Male","Two year","71","109.3","Credit card (automatic)","Low/Medium Risk"
"6308-CQRBU","Female","Two year","71","109.25","Electronic check","Low/Medium Risk"
"9488-FYQAU","Female","Two year","63","109.25","Bank transfer (automatic)","Low/Medium Risk"
"3617-XLSGQ","Female","Two year","66","109.25","Bank transfer (automatic)","Low/Medium Risk"
"5574-NXZIU","Male","Two year","63","109.2","Credit card (automatic)","Low/Medium Risk"
"6614-FHDBO","Male","Two year","72","109.2","Bank transfer (automatic)","Low/Medium Risk"
"8901-UPRHR","Female","Two year","72","109.2","Bank transfer (automatic)","Low/Medium Risk"
"0961-ZWLVI","Male","One year","49","109.2","Credit card (automatic)","Low/Medium Risk"
"3612-YUNGG","Male","Two year","64","109.2","Credit card (automatic)","Low/Medium Risk"
"5140-FOMCQ","Female","One year","59","109.15","Credit card (automatic)","Low/Medium Risk"
"2266-SJNAT","Female","One year","72","109.15","Credit card (automatic)","Low/Medium Risk"
"9278-VZKCD","Female","Month-to-month","52","109.1","Electronic check","Low/Medium Risk"
"8819-ZBYNA","Female","Two year","58","109.1","Credit card (automatic)","Low/Medium Risk"
"4567-AKPIA","Female","One year","41","109.1","Bank transfer (automatic)","Low/Medium Risk"
"3766-EJLFL","Female","Two year","68","109.05","Bank transfer (automatic)","Low/Medium Risk"
"2307-FYNNL","Male","Two year","65","109.05","Electronic check","Low/Medium Risk"
"3407-JMJQQ","Female","Two year","71","109","Bank transfer (automatic)","Low/Medium Risk"
"8495-LJDFO","Female","Month-to-month","64","108.95","Bank transfer (automatic)","Low/Medium Risk"
"5172-RKOCB","Male","Two year","72","108.95","Credit card (automatic)","Low/Medium Risk"
"4350-ZTLPI","Female","One year","53","108.95","Bank transfer (automatic)","Low/Medium Risk"
"6733-LRIZX","Male","Two year","35","108.95","Electronic check","Low/Medium Risk"
"9971-ZWPBF","Male","Month-to-month","34","108.9","Electronic check","Low/Medium Risk"
"0345-XMMUG","Female","Two year","46","108.9","Credit card (automatic)","Low/Medium Risk"
"4016-BJKTZ","Female","Two year","25","108.9","Electronic check","Low/Medium Risk"
"3761-FLYZI","Female","Month-to-month","65","108.8","Bank transfer (automatic)","Low/Medium Risk"
"2144-BFDSO","Female","Month-to-month","50","108.75","Bank transfer (automatic)","Low/Medium Risk"
"2027-WKXMW","Female","Month-to-month","63","108.75","Electronic check","Low/Medium Risk"
"8213-TAZPM","Female","One year","69","108.75","Bank transfer (automatic)","Low/Medium Risk"
"2001-MCUUW","Male","Two year","46","108.65","Electronic check","Low/Medium Risk"
"1053-MXTTK","Female","Two year","72","108.65","Bank transfer (automatic)","Low/Medium Risk"
"2798-NYLMZ","Male","Two year","71","108.55","Credit card (automatic)","Low/Medium Risk"
"5966-EMAZU","Male","One year","64","108.5","Mailed check","Low/Medium Risk"
"5168-MQQCA","Female","One year","72","108.5","Bank transfer (automatic)","Low/Medium Risk"
"8041-TMEID","Male","Two year","63","108.5","Credit card (automatic)","Low/Medium Risk"
"5067-XJQFU","Male","One year","66","108.45","Electronic check","Low/Medium Risk"
"1216-BGTSP","Male","Month-to-month","45","108.45","Credit card (automatic)","Low/Medium Risk"
"1320-GVNHT","Male","Two year","72","108.4","Credit card (automatic)","Low/Medium Risk"
"2419-FSORS","Male","Two year","72","108.4","Electronic check","Low/Medium Risk"
"5981-ZVXOT","Female","One year","35","108.35","Electronic check","Low/Medium Risk"
"6519-ZHPXP","Female","Two year","72","108.3","Bank transfer (automatic)","Low/Medium Risk"
"6362-QHAFM","Male","One year","42","108.3","Electronic check","Low/Medium Risk"
"1110-KYLGQ","Female","Month-to-month","63","108.25","Credit card (automatic)","Low/Medium Risk"
"1074-AMIOH","Female","Month-to-month","53","108.25","Bank transfer (automatic)","Low/Medium Risk"
"7550-WIQVA","Male","One year","50","108.25","Electronic check","Low/Medium Risk"
"9031-ZVQPT","Male","Two year","72","108.2","Electronic check","Low/Medium Risk"
"4329-YPDDQ","Male","Month-to-month","20","108.2","Bank transfer (automatic)","Low/Medium Risk"
"1679-JRFBR","Female","One year","70","108.15","Credit card (automatic)","Low/Medium Risk"
"0181-RITDD","Male","Two year","62","108.15","Mailed check","Low/Medium Risk"
"7134-HBPBS","Female","Two year","72","108.1","Bank transfer (automatic)","Low/Medium Risk"
"6583-SZVGP","Male","Two year","48","108.1","Bank transfer (automatic)","Low/Medium Risk"
"6723-WSNTY","Female","One year","66","108.1","Credit card (automatic)","Low/Medium Risk"
"3657-COGMW","Female","Month-to-month","52","108.1","Credit card (automatic)","Low/Medium Risk"
"0786-IVLAW","Female","One year","66","108.1","Bank transfer (automatic)","Low/Medium Risk"
"9861-PDSZP","Female","Two year","72","108.05","Credit card (automatic)","Low/Medium Risk"
"2692-AQCPF","Female","One year","65","108.05","Credit card (automatic)","Low/Medium Risk"
"2651-ZCBXV","Male","Two year","54","108","Credit card (automatic)","Low/Medium Risk"
"2081-VEYEH","Male","Month-to-month","3","107.95","Electronic check","High Risk"
"5760-IFJOZ","Male","Month-to-month","3","107.95","Mailed check","High Risk"
"1400-WIVLL","Male","Two year","57","107.95","Electronic check","Low/Medium Risk"
"9844-FELAJ","Female","One year","70","107.9","Electronic check","Low/Medium Risk"
"1833-TCXKK","Male","Month-to-month","45","107.75","Bank transfer (automatic)","Low/Medium Risk"
"2000-MPKCA","Female","One year","58","107.75","Electronic check","Low/Medium Risk"
"1698-XFZCI","Male","One year","61","107.75","Electronic check","Low/Medium Risk"
"7821-DPRQE","Male","Month-to-month","68","107.7","Electronic check","Low/Medium Risk"
"8915-NNTRC","Male","Two year","72","107.7","Credit card (automatic)","Low/Medium Risk"
"3096-YXENJ","Female","Two year","65","107.65","Bank transfer (automatic)","Low/Medium Risk"
"4683-WYDOU","Male","Two year","62","107.6","Bank transfer (automatic)","Low/Medium Risk"
"0114-PEGZZ","Female","Month-to-month","33","107.55","Electronic check","Low/Medium Risk"
"5954-BDFSG","Female","Two year","72","107.5","Credit card (automatic)","Low/Medium Risk"
"2615-YVMYX","Male","Month-to-month","71","107.5","Electronic check","Low/Medium Risk"
"8800-ZKRFW","Female","Month-to-month","30","107.5","Electronic check","Low/Medium Risk"
"4056-QHXHZ","Female","Two year","72","107.45","Mailed check","Low/Medium Risk"
"5336-UFNZP","Female","One year","65","107.45","Electronic check","Low/Medium Risk"
"8265-HKSOW","Female","Two year","72","107.45","Credit card (automatic)","Low/Medium Risk"
"9036-CSKBW","Female","One year","51","107.45","Bank transfer (automatic)","Low/Medium Risk"
"8024-XNAFQ","Female","Two year","72","107.4","Bank transfer (automatic)","Low/Medium Risk"
"9659-ZTWSM","Male","One year","66","107.35","Bank transfer (automatic)","Low/Medium Risk"
"6815-ABQFQ","Male","One year","56","107.25","Electronic check","Low/Medium Risk"
"8565-HBFNN","Male","One year","69","107.2","Credit card (automatic)","Low/Medium Risk"
"1297-VQDRP","Male","One year","68","107.15","Credit card (automatic)","Low/Medium Risk"
"4716-HHKQH","Male","Month-to-month","20","107.05","Electronic check","Low/Medium Risk"
"5481-NTDOH","Female","One year","67","107.05","Credit card (automatic)","Low/Medium Risk"
"3758-CKOQL","Female","One year","59","107","Credit card (automatic)","Low/Medium Risk"
"9137-UIYPG","Female","Month-to-month","35","106.9","Electronic check","Low/Medium Risk"
"3786-WOVKF","Female","One year","72","106.85","Bank transfer (automatic)","Low/Medium Risk"
"4119-ZYPZY","Male","Two year","71","106.8","Electronic check","Low/Medium Risk"
"1784-EZDKJ","Male","One year","51","106.8","Bank transfer (automatic)","Low/Medium Risk"
"8152-UOBNY","Female","One year","50","106.8","Electronic check","Low/Medium Risk"
"5035-PGZXH","Female","One year","56","106.8","Electronic check","Low/Medium Risk"
"9558-IHEZX","Female","Two year","71","106.75","Credit card (automatic)","Low/Medium Risk"
"9959-WOFKT","Male","Two year","71","106.7","Bank transfer (automatic)","Low/Medium Risk"
"5055-BRMNE","Female","Two year","67","106.7","Credit card (automatic)","Low/Medium Risk"
"1169-SAOCL","Male","One year","49","106.65","Bank transfer (automatic)","Low/Medium Risk"
"5855-EIBDE","Female","Two year","49","106.65","Credit card (automatic)","Low/Medium Risk"
"6591-QGOYB","Male","Month-to-month","17","106.65","Bank transfer (automatic)","Low/Medium Risk"
"4010-YLMVT","Female","Month-to-month","56","106.6","Credit card (automatic)","Low/Medium Risk"
"6465-GSRCL","Female","One year","67","106.6","Bank transfer (automatic)","Low/Medium Risk"
