imbd_title_id,Original Title ,Release year,Type,Duration,Country,Content RatinR,Director,Income,Votes,Score
TT0114369,Se7En,12/15/95,"Crime, Drama, Mystery",127,Usa,R,David Fincher,"327,333,559.00","1,402,015",8.6
TT0102926,The Silence Of The Lambs,03/05/91,"Crime, Drama, Thriller",118,Usa,R,Jonathan Demme,"272,753,884.00","1,234,134",8.6
TT0076759,Star Wars,10/20/77,"Action, Adventure, Fantasy",121,Usa,R,George Lucas,"775,768,912.00","1,204,107",8.6
TT0120815,Saving Private Ryan,10/30/98,"Drama, War",169,Usa,R,Steven Spielberg,"482,349,603.00","1,203,825",8.6
TT0120689,The Green Mile,10/03/00,"Crime, Drama, Fantasy",189,Us.,R,Frank Darabont,"286,801,374.00","1,112,336",8.6
TT0317248,Cidade De Deus,05/09/03,"Crime, Drama",130,Brazil,R,"Fernando Meirelles, Kã£Â¡Tia Lund","30,680,793.00","685,856",8.6
TT0245429,Sen To Chihiro No Kamikakushi,04/18/03,"Animation, Adventure, Family",125,Japan,R,Hayao Miyazaki,"355,467,056.00","626,693",8.6
TT0118799,La Vita B9 Bella,12/20/97,"Comedy, Drama, Romance",116,Italy,R,Roberto Benigni,"230,098,753.00","605,648",8.6
TT6751668,Gisaengchung,11/07/19,"Comedy, Drama, Thriller",132,South Korea,R,Bong Joon Ho,"257,604,912.00","470,931",8.6
TT0038650,It'S A Wonderful Life,03/11/48,"Drama, Family, Fantasy",130,Usa,R,Frank Capra,"6,130,720.00","388,31",8.6
TT0047478,Shichinin No Samurai,08/19/55,"Action, Adventure, Drama",207,Japan,R,Akira Kurosawa,"322,773.00","307,958",8.6
TT0172495,Gladiator,05/19/00,"Action, Adventure, Drama",155,Usa,R,Ridley Scott,"465,361,176.00","1,308,193",8.5
TT0407887,The Departed,10/27/06,"Crime, Drama, Thriller",151,Usa,R,Martin Scorsese,"291,465,034.00","1,159,703",8.5
TT0482571,The Prestige,12/22/06,"Drama, Mystery, Sci-Fi",130,Uk,R,Christopher Nolan,"109,676,311.00","1,155,723",8.5
TT0088763,Back To The Future,10/18/85,"Adventure, Comedy, Sci-Fi",116,Usa,R,Robert Zemeckis,"388,774,684.00","1,027,330",8.5
TT0120586,American History X,08/27/99,Drama,119,Usa,R,Tony Kaye,"23,875,127.00","1,014,218",8.5
TT0110413,Lã£Â©On,04/07/95,"Action, Crime, Drama",110,France,R,Luc Besson,"19,552,639.00","1,007,598",8.5
TT0103064,Terminator 2: Judgment Day,12/19/91,"Action, Sci-Fi",137,Usa,R,James Cameron,"520,884,847.00","974,97",8.4
TT0114814,The Usual Suspects,11/30/95,"Crime, Mystery, Thriller",106,Usa,R,Bryan Singer,"23,341,568.00","968,947",8.4
TT0110357,The Lion King,11/25/94,"Animation, Adventure, Drama",88,Usa,R,"Roger Allers, Rob Minkoff","968,511,805.00","917,248",8.4
TT7286456,Joker,10/03/19,"Crime, Drama, Thriller",122,Usa,R,Todd Phillips,"1,074,251,311.00","855,097",8.4
TT1675434,Intouchables,02/24/12,"Biography, Comedy, Drama",112,France,R,"Olivier Nakache, Ã£Â‰Ric Toledano","426,588,510.00","736,691",8.4
TT0253474,The Pianist,10/25/02,"Biography, Drama, Music",150,Uk,R,Roman Polanski,"120,072,577.00","707,942",8.4
TT2582802,Whiplash,02/12/15,"Drama, Music",106,Usa,R,Damien Chazelle,"48,983,260.00","690,732",8.4
TT0054215,Psycho,10/28/60,"Horror, Mystery, Thriller",109,Usa,R,Alfred Hitchcock,"32,008,644.00","586,765",8.3
TT0034583,Casablanca,11/21/46,"Drama, Romance, War",102,Usa,R,Michael Curtiz,"4,374,761.00","509,953",8.3
TT0064116,C'Era Una Volta Il West,12/21/68,Western,165,Italy,R,Sergio Leone,"112,911.00","295,22",8.3
TT0095327,Hotaru No Haka,10/11/15,"Animation, Drama, War",89,Japan,R,Isao Takahata,"516,962.00","225,438",8.3
TT0095765,Nuovo Cinema Paradiso,11/17/88,Drama,155,Italy,R,Giuseppe Tornatore,"13,826,605.00","223,05",8.3
TT0027977,Modern Times,03/12/37,"Comedy, Drama, Family",87,Usa,R,Charles Chaplin,"457,688.00","211,25",8.3
TT1345836,The Dark Knight Rises,08/29/12,"Action, Adventure",164,Uk,R,Christopher Nolan,"1,081,133,191.00","1,480,582",8.3
TT1853728,Django Unchained,01/17/13,"Drama, Western",165,Usa,R,Quentin Tarantino,"425,368,238.00","1,317,856",8.3
TT0209144,Memento,01/19/01,"Mystery, Thriller",113,Usa,R,Christopher Nolan,"39,970,386.00","1,098,879",8.2
TT0910970,Wallã¢Â·E,10/17/08,"Animation, Adventure, Family",98,Usa,R,Andrew Stanton,"521,311,860.00","974,734",8.2
TT0081505,The Shining,12/22/80,"Drama, Horror",146,Uk,R,Stanley Kubrick,"46,520,613.00","869,48",8.2
TT0082971,Raiders Of The Lost Ark,06/12/81,"Action, Adventure",115,Usa,R,Steven Spielberg,"390,133,212.00","865,51",8.2
TT4154756,Avengers: Infinity War,04/25/18,"Action, Adventure, Sci-Fi",149,Usa,R,"Anthony Russo, Joe Russo","2,048,359,754.00","796,486",8.2
TT0078748,Alien,10/25/79,"Horror, Sci-Fi",117,Uk,R,Ridley Scott,"108,110,316.00","768,874",8.2
TT4154796,Avengers: Endgame,04/24/19,"Action, Adventure, Drama",181,Usa,R,"Anthony Russo, Joe Russo","2,797,800,564.00","754,786",8.2
TT0078788,Apocalypse Now,12/18/79,"Drama, Mystery, War",147,Usa,R,Francis Ford Coppola,"91,968,688.00","591,251",8.2
TT0364569,Oldeuboi,05/06/05,"Action, Drama, Mystery",120,South Korea,R,Chan-Wook Park,"15,002,116.00","501,082",8.1
TT0057012,Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,04/03/64,Comedy,95,Uk,R,Stanley Kubrick,"9,443,876.00","441,115",8.1
TT0047396,Rear Window,04/14/55,"Mystery, Thriller",112,Usa,R,Alfred Hitchcock,"37,032,034.00","432,39",8.1
TT2380307,Coco,12/28/17,"Animation, Adventure, Family",105,Usa,R,"Lee Unkrich, Adrian Molina","807,083,670.00","352,455",8.1
TT0405094,Das Leben Der Anderen,04/06/07,"Drama, Mystery, Thriller",137,Germany,R,Florian Henckel Von Donnersmarck,"77,356,942.00","349,642",8.1
TT4633694,Spider-Man: Into The Spider-Verse,12/25/18,"Animation, Action, Adventure",117,Usa,R,"Bob Persichetti, Peter Ramsey","375,540,831.00","335,892",8.1
TT1187043,3 Idiots,12/25/09,"Comedy, Drama",170,India,R,Rajkumar Hirani,"60,262,836.00","332,217",8.1
TT0119698,Mononoke-Hime,05/19/00,"Animation, Adventure, Fantasy",134,Japan,R,Hayao Miyazaki,"169,785,629.00","331,045",8
TT0087843,Once Upon A Time In America,09/28/84,"Crime, Drama",229,Usa,R,Sergio Leone,"5,472,914.00","302,317",8
TT0032553,The Great Dictator,06/25/45,"Comedy, Drama, War",125,Usa,R,Charles Chaplin,"969,879.00","197,381",8
TT0043014,Sunset Blvd.,06/03/87,"Drama, Film-Noir",110,Usa,R,Billy Wilder,"299,645.00","195,789",8
TT0361748,Inglourious Basterds,10/02/09,"Adventure, Drama, War",153,Germany,R,Quentin Tarantino,"321,455,689.00","1,229,958",8
TT0169547,American Beauty,01/21/00,Drama,122,Usa,R,Sam Mendes,"356,296,601.00","1,049,009",8
TT0112573,Braveheart,12/01/95,"Biography, Drama, History",178,Usa,R,Mel Gibson,"213,216,216.00","941,683",7.9
TT0086190,Star Wars: Episode Vi - Return Of The Jedi,10/21/83,"Action, Adventure, Fantasy",131,Usa,R,Richard Marquand,"475,347,111.00","928,036",7.9
TT0105236,Reservoir Dogs,10/09/92,"Crime, Drama, Thriller",99,Usa,R,Quentin Tarantino,"2,889,963.00","896,551",7.9
TT0338013,Eternal Sunshine Of The Spotless Mind,10/22/04,"Drama, Romance, Sci-Fi",108,Usa,R,Michel Gondry,"74,036,715.00","889,875",7.9
TT0114709,Toy Story,03/22/96,"Animation, Adventure, Comedy",81,Usa,R,John Lasseter,"404,265,438.00","864,461",7.9
TT0119217,Good Will Hunting,03/06/98,"Drama, Romance",126,Usa,R,Gus Van Sant,"225,933,435.00","837,379",7.8
TT0208092,Snatch,03/16/01,"Comedy, Crime",104,Uk,R,Guy Ritchie,"83,557,872.00","766,589",7.8
TT0180093,Requiem For A Dream,12/15/00,Drama,102,Usa,R,Darren Aronofsky,"7,390,108.00","748,291",7.8
TT0066921,A Clockwork Orange,09/07/72,"Crime, Drama, Sci-Fi",136,Uk,R,Stanley Kubrick,"26,903,440.00","740,301",7.8
TT0435761,Toy Story 3,07/07/10,"Animation, Adventure, Comedy",103,Usa,R,Lee Unkrich,"1,066,969,703.00","739,717",7.8
TT0086250,Scarface,12/02/84,"Crime, Drama",170,Usa,R,Brian De Palma,"66,023,585.00","721,343",7.8
TT0075314,Taxi Driver,12/24/76,"Crime, Drama",114,Usa,R,Martin Scorsese,"28,441,292.00","703,264",7.7
TT0211915,Le Fabuleux Destin D'Amã£Â©Lie Poulain,01/25/02,"Comedy, Romance",122,France,R,Jean-Pierre Jeunet,"173,924,742.00","690,48",7.7
TT0093058,Full Metal Jacket,10/09/87,"Drama, War",116,Uk,R,Stanley Kubrick,"46,357,676.00","658,175",7.7
TT0090605,Aliens,09/24/86,"Action, Adventure, Sci-Fi",137,Usa,R,James Cameron,"131,384,634.00","639,5",7.7
TT0062622,2001: A Space Odyssey,12/12/68,"Adventure, Sci-Fi",149,Uk,R,Stanley Kubrick,"68,989,547.00","587,866",7.6
TT0033467,Citizen Kane,11/25/48,"Drama, Mystery",119,Usa,R,Orson Welles,"1,594,107.00","389,322",7.6
TT8579674,1917,01/23/20,"Drama, War",119,Usa,R,Sam Mendes,"384,857,224.00","362,897",7.6
TT0086879,Amadeus,02/15/85,"Biography, Drama, History",160,Usa,R,Milos Forman,"52,066,791.00","361,028",7.6
TT0052357,Vertigo,11/18/58,"Mystery, Romance, Thriller",128,Usa,R,Alfred Hitchcock,"7,796,389.00","352,786",7.5
TT0053125,North By Northwest,10/28/59,"Adventure, Mystery, Thriller",136,Usa,R,Alfred Hitchcock,"73,446.00","291,628",7.5
TT2106476,Jagten,11/22/12,Drama,115,Denmark,R,Thomas Vinterberg,"15,843,274.00","269,616",7.5
TT0056172,Lawrence Of Arabia,10/29/63,"Adventure, Biography, Drama",228,Uk,R,David Lean,"45,710,874.00","261,504",7.5
TT0070735,The Sting,03/21/74,"Comedy, Crime, Drama",129,Usa,R,George Roy Hill,"156,000,000.00","236,285",7.5
TT0082096,Das Boot,03/18/82,"Adventure, Drama, Thriller",149,West Germany,R,Wolfgang Petersen,"11,487,676.00","226,427",7.5
TT0059578,Per Qualche Dollaro In Piã£Â¹,12/20/65,Western,132,Italy,R,Sergio Leone,"15,000,000.00","226,039",7.4
TT1832382,Jodaeiye Nader Az Simin,10/21/11,Drama,123,Iran,R,Asghar Farhadi,"22,926,076.00","214,165",7.4
TT0045152,Singin' In The Rain,02/05/53,"Comedy, Musical, Romance",103,Usa,R,Stanley Donen,"1,864,182.00","213,152",7.4
